Crude oil including lease condensate production World Monthly
https://www.eia.gov/opendata/qb.php?sdid=INTL.57-1-WORL-TBPD.M
09:57:45 GMT+0100 (Centraleuropæisk normaltid)
Source: U.S. Energy Information Administration
Month,Series ID: INTL.57-1-WORL-TBPD.M thousand barrels per day
Aug 2020,72605.967
Jul 2020,71570.332
Jun 2020,70423.252
May 2020,71478.853
Apr 2020,82858.13
Mar 2020,82422.546
Feb 2020,82405.732
Jan 2020,83233.688
Dec 2019,83584.53
Nov 2019,83579.78
Oct 2019,82603.77
Sep 2019,80731.924
Aug 2019,82410.234
Jul 2019,81279.572
Jun 2019,81884.636
May 2019,81723.848
Apr 2019,82318.506
Mar 2019,82562.124
Feb 2019,82600.31
Jan 2019,82882.818
Dec 2018,84228.844
Nov 2018,84497.52
Oct 2018,84334.615
Sep 2018,83207.197
Aug 2018,83213.008
Jul 2018,82669.321
Jun 2018,82214.501
May 2018,81550.319
Apr 2018,81809.674
Mar 2018,82167.019
Feb 2018,82346.955
Jan 2018,82163.905
Dec 2017,81717.388
Nov 2017,81992.941
Oct 2017,81318.015
Sep 2017,81176.467
Aug 2017,80958.654
Jul 2017,81587.104
Jun 2017,81065.566
May 2017,80511.401
Apr 2017,79917.577
Mar 2017,80370.68
Feb 2017,81150.61
Jan 2017,81162.535
Dec 2016,82124.519
Nov 2016,82613.794
Oct 2016,81588.427
Sep 2016,80413.021
Aug 2016,80077.903
Jul 2016,80627.113
Jun 2016,79882.051
May 2016,79173.403
Apr 2016,79961.866
Mar 2016,80726.824
Feb 2016,80822.227
Jan 2016,81636.189
Dec 2015,81681.165
Nov 2015,81450.807
Oct 2015,80817.62
Sep 2015,80857.487
Aug 2015,80977.043
Jul 2015,81265.316
Jun 2015,80694.797
May 2015,80260.799
Apr 2015,80343.969
Mar 2015,80681.398
Feb 2015,79775.708
Jan 2015,79873.638
Dec 2014,80615.88
Nov 2014,79702.745
Oct 2014,79918.149
Sep 2014,78965.591
Aug 2014,78196.125
Jul 2014,77919.378
Jun 2014,77701.105
May 2014,77351.343
Apr 2014,77128.341
Mar 2014,77385.78
Feb 2014,77955.467
Jan 2014,77479.044
Dec 2013,77189.025
Nov 2013,76804.907
Oct 2013,76506.408
Sep 2013,76237.989
Aug 2013,76710.991
Jul 2013,76947.589
Jun 2013,76427.944
May 2013,76337.44
Apr 2013,76461.23
Mar 2013,76072.876
Feb 2013,75864.167
Jan 2013,76072.159
Dec 2012,76741.541
Nov 2012,76826.586
Oct 2012,76293.551
Sep 2012,75671.913
Aug 2012,76212.091
Jul 2012,76233.089
Jun 2012,76040.166
May 2012,76222.072
Apr 2012,76938.423
Mar 2012,76618.634
Feb 2012,76813.227
Jan 2012,76565.973
Dec 2011,76359.185
Nov 2011,75982.939
Oct 2011,74982.708
Sep 2011,74474.065
Aug 2011,75136.934
Jul 2011,74706.259
Jun 2011,74267.071
May 2011,73472.029
Apr 2011,74104.984
Mar 2011,74283.144
Feb 2011,75321.254
Jan 2011,76168.015
Dec 2010,75515.899
Nov 2010,75578.686
Oct 2010,75107.919
Sep 2010,75259.954
Aug 2010,74926.939
Jul 2010,75059.46
Jun 2010,74866.871
May 2010,74795.917
Apr 2010,74654.499
Mar 2010,74713.287
Feb 2010,74361.702
Jan 2010,73860.485
Dec 2009,73709.016
Nov 2009,74009.229
Oct 2009,73910.625
Sep 2009,73479.941
Aug 2009,73026.616
Jul 2009,73548.079
Jun 2009,72651.578
May 2009,72494.139
Apr 2009,72910.8
Mar 2009,72681.697
Feb 2009,72814.909
Jan 2009,72326.16
Dec 2008,73282.122
Nov 2008,74050.374
Oct 2008,74217.554
Sep 2008,73217.885
Aug 2008,74217.153
Jul 2008,75310.804
Jun 2008,74577.042
May 2008,74569.636
Apr 2008,74251.11
Mar 2008,74822.147
Feb 2008,74596.113
Jan 2008,74507.062
Dec 2007,74309.723
Nov 2007,73699.196
Oct 2007,73965.654
Sep 2007,73238.77
Aug 2007,72584.265
Jul 2007,73204.711
Jun 2007,72612.598
May 2007,73003.591
Apr 2007,73546.285
Mar 2007,73339.245
Feb 2007,73345.185
Jan 2007,73032.336
Dec 2006,73394.017
Nov 2006,73472.608
Oct 2006,73907.311
Sep 2006,73572.081
Aug 2006,73938.311
Jul 2006,74219.822
Jun 2006,73182.372
May 2006,73185.421
Apr 2006,73642.234
Mar 2006,73577.019
