"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CPI","TOT","AGRWTH","M","1967-10",2.431611,
"USA","CPI","TOT","AGRWTH","M","1967-11",2.735562,
"USA","CPI","TOT","AGRWTH","M","1967-12",3.039514,
"USA","CPI","TOT","AGRWTH","M","1968-01",3.647416,
"USA","CPI","TOT","AGRWTH","M","1968-02",3.951368,
"USA","CPI","TOT","AGRWTH","M","1968-03",3.939394,
"USA","CPI","TOT","AGRWTH","M","1968-04",3.927492,
"USA","CPI","TOT","AGRWTH","M","1968-05",3.915663,
"USA","CPI","TOT","AGRWTH","M","1968-06",4.204204,
"USA","CPI","TOT","AGRWTH","M","1968-07",4.491018,
"USA","CPI","TOT","AGRWTH","M","1968-08",4.477612,
"USA","CPI","TOT","AGRWTH","M","1968-09",4.464286,
"USA","CPI","TOT","AGRWTH","M","1968-10",4.747775,
"USA","CPI","TOT","AGRWTH","M","1968-11",4.733728,
"USA","CPI","TOT","AGRWTH","M","1968-12",4.719764,
"USA","CPI","TOT","AGRWTH","M","1969-01",4.398827,
"USA","CPI","TOT","AGRWTH","M","1969-02",4.678362,
"USA","CPI","TOT","AGRWTH","M","1969-03",5.247813,
"USA","CPI","TOT","AGRWTH","M","1969-04",5.523256,
"USA","CPI","TOT","AGRWTH","M","1969-05",5.507246,
"USA","CPI","TOT","AGRWTH","M","1969-06",5.475504,
"USA","CPI","TOT","AGRWTH","M","1969-07",5.444126,
"USA","CPI","TOT","AGRWTH","M","1969-08",5.714286,
"USA","CPI","TOT","AGRWTH","M","1969-09",5.698006,
"USA","CPI","TOT","AGRWTH","M","1969-10",5.665722,
"USA","CPI","TOT","AGRWTH","M","1969-11",5.932203,
"USA","CPI","TOT","AGRWTH","M","1969-12",6.197183,
"USA","CPI","TOT","AGRWTH","M","1970-01",6.179775,
"USA","CPI","TOT","AGRWTH","M","1970-02",6.145251,
"USA","CPI","TOT","AGRWTH","M","1970-03",5.817174,
"USA","CPI","TOT","AGRWTH","M","1970-04",6.060606,
"USA","CPI","TOT","AGRWTH","M","1970-05",6.043956,
"USA","CPI","TOT","AGRWTH","M","1970-06",6.010929,
"USA","CPI","TOT","AGRWTH","M","1970-07",5.978261,
"USA","CPI","TOT","AGRWTH","M","1970-08",5.405406,
"USA","CPI","TOT","AGRWTH","M","1970-09",5.660378,
"USA","CPI","TOT","AGRWTH","M","1970-10",5.630027,
"USA","CPI","TOT","AGRWTH","M","1970-11",5.6,
"USA","CPI","TOT","AGRWTH","M","1970-12",5.570292,
"USA","CPI","TOT","AGRWTH","M","1971-01",5.291005,
"USA","CPI","TOT","AGRWTH","M","1971-02",5,
"USA","CPI","TOT","AGRWTH","M","1971-03",4.712042,
"USA","CPI","TOT","AGRWTH","M","1971-04",4.155844,
"USA","CPI","TOT","AGRWTH","M","1971-05",4.404145,
"USA","CPI","TOT","AGRWTH","M","1971-06",4.639175,
"USA","CPI","TOT","AGRWTH","M","1971-07",4.358974,
"USA","CPI","TOT","AGRWTH","M","1971-08",4.615385,
"USA","CPI","TOT","AGRWTH","M","1971-09",4.081633,
"USA","CPI","TOT","AGRWTH","M","1971-10",3.807106,
"USA","CPI","TOT","AGRWTH","M","1971-11",3.282828,
"USA","CPI","TOT","AGRWTH","M","1971-12",3.266332,
"USA","CPI","TOT","AGRWTH","M","1972-01",3.266332,
"USA","CPI","TOT","AGRWTH","M","1972-02",3.508772,
"USA","CPI","TOT","AGRWTH","M","1972-03",3.5,
"USA","CPI","TOT","AGRWTH","M","1972-04",3.491272,
"USA","CPI","TOT","AGRWTH","M","1972-05",3.225806,
"USA","CPI","TOT","AGRWTH","M","1972-06",2.70936,
"USA","CPI","TOT","AGRWTH","M","1972-07",2.948403,
"USA","CPI","TOT","AGRWTH","M","1972-08",2.941176,
"USA","CPI","TOT","AGRWTH","M","1972-09",3.186275,
"USA","CPI","TOT","AGRWTH","M","1972-10",3.422983,
"USA","CPI","TOT","AGRWTH","M","1972-11",3.667482,
"USA","CPI","TOT","AGRWTH","M","1972-12",3.406326,
